CONTENT_ID,MASTER_CONTENT_ID,SERIES_ID,CP_CD,MCP_CD,CONTRACTID,TITLE_BRIEF,CTGR_NAME,TITLE_DISPLAY_NAME,ORIGIN_TITLE,ORIGIN_TITLE_LANGUAGE,ENGLISHSUBTITLE,ENGLISHTITLE,TITLESHORT,EPISODE_NAME,SEASON_NO,ISSERIESPREMIER,EPISODE_ID,IS_FINALE,SUMMARY_LONG,Guidance_Words,SUMMARY_MEDIUM,SUMMARY_SHORT,KTRATING,RATING,DISPLAY_RUN_TIME,GENRE_MAIN,SUB_GENRE1,SUB_GENRE2,SUB_GENRE3,SUB_GENRE4,SUB_GENRE5,DESCRIPTION,TITLESORTABLE,MAINANDSUBKEYWORDS,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,YEAR,COUNTRY_OF_ORIGIN,CONTENT_LANGUAGE,DISTRIBUTOR,PUBLISHER,PRODUCER,LOCAL_PREMIERE_YEAR,RELEASEDATE,BROAD_CHANNEL,BROAD_DATE,BROAD_DAY,KEYWORD,SUBTITLE_DUBBED,SUBTITLE_DUBBED_LANG,MULTI_CAPTION_FLAG,DEFAULT_CAPTION,MULTI_CAPTION_INFO,MULTI_AUDIO_FLAG,DEFAULT_AUDIO,MULTI_AUDIO_INFO,AUDIOLANGUAGE,ATTACH_VIDEO_TYPE,VIDEOSERVICETYPE,VIDEOTYPE,INGESTERTYPE,PRIZE,ACTORS_LEADING,ACTORS_SUPPORTING,HOST_NAME,GUESTS,NARRATOR,SPORT_EVENT_NAME,SPORT_LEAGUE,SPORT_BROAD_TYPE,SPORT_ENTRY,SPORT_HOST_PLACE,SPORT_HOST_YEAR,PLAYER,COMPOSER,CONDUCTOR,RECORDING_ARTIST,SONG_TITLE,LYRICIST,ORGANIZATION,SUBJECT,CLASS_GRADE,RELIGION_TYPE,CLASS_YEAR,CLASS_TERM,RECOMMEND_AGE,CLASS_LEVEL,RELATED_MATERIALS,CLASS_PLAN,TEACHER,TEACHER_HISTORY,MOC_ASSETID,DNP_ASSETID,OMS_ASSETID,GENRE_DISPLAY,Detail_Genre_Display,Corner_Watch_Flag,META_WHEN,META_WHERE,META_WHAT,META_WHO,META_EMOTION,META_SUBGENRE,META_SEARCH,META_CHARACTER,META_RECO_TARGET,META_RECO_SITUATION,META_AWARD,RATE_CNT,RATE_TYPE,RATE_AVERAGE,EXPERT_CODE,RATE_VALUE,RATE_COMMENT,EXPERT_COMPANY,HOME_PORTAL_USE_YN,DIRECTOR_ID,DIRECTOR_NAME,TRACTOR_DISPLAY_ID,TRACTOR_DISPLAY_NAME,ASACTOR_DISPLAY_ID,ASACTOR_DISPLAY_NAME,ACTORS_DISPLAY_ID,ACTORS_DISPLAY_NAME,ACTORS_DISPLAY_ROLE,HASHTAG,FILM_CD,AUDIENCE_COUNT
10032044130004,1003204413,60020607180000,00034,00034,101850000,"""너 정말 그 아이를 사랑하는 거 아니니?"" 재희와 김혜옥의 신경전, MBC 210330 방송",제휴클립 > MBC,"""너 정말 그 아이를 사랑하는 거 아니니?"" 재희와 김혜옥의 신경전, MBC 210330 방송",,,,,"""너 정말 그 아이를 사랑하는 거 아니니?"" 재희와 김혜옥의 신경전, MBC 210330 방송","""너 정말 그 아이를 사랑하는 거 아니니?"" 재희와 김혜옥의 신경전, MBC 210330 방송",1,N,53,N,"""너 정말 그 아이를 사랑하는 거 아니니?"" 재희와 김혜옥의 신경전

[밥이 되어라] 53회, 20210330",,"""너 정말 그 아이를 사랑하는 거 아니니?"" 재희와 김혜옥의 신경전

[밥이 되어라] 53회, 20210330",,4,4,00:02,030000,,,,,,제휴콘텐츠,"""너 정말 그 아이를 사랑하는 거 아니니?"" 재희와 김혜옥의 신경전, MBC 210330 방송",,백호민,하청옥,"정우연,이루,최수린,김혜옥,재희",2021,KOR,KOR,,,,,,MBC,20210330,"월,화,수,목,금","정우연,재희,권혁,강다현,조한준,안내상,정혜선,남경읍,서우림,한인수",,,N,,,N,,,KOR,부속제휴,VOD,부속영상,제휴콘텐츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M34L30YBSGL1500001,,M34L30YASGL1500001,90,,,,,,,,,,,,,,0,,,,,,,Y,108074,백호민,,,,,166346~122327~105451,정우연~최수린~김혜옥,,,,
10032044290003,1003204429,60020565830000,00034,00034,101850000,"장동민 vj 한테 호되게 당하는 김준호 ""아니.. 왜 이러세요...😭"", MBC 210329 방송",제휴클립 > MBC,"장동민 vj 한테 호되게 당하는 김준호 ""아니.. 왜 이러세요...😭"", MBC 210329 방송",,,,,"장동민 vj 한테 호되게 당하는 김준호 ""아니.. 왜 이러세요...😭"", MBC 210329 방송","장동민 vj 한테 호되게 당하는 김준호 ""아니.. 왜 이러세요...😭"", MBC 210329 방송",1,N,24,N,"장동민 vj 한테 호되게 당하는 김준호 ""아니.. 왜 이러세요...😭""

[안싸우면 다행이야] 24회, 20210329",,"장동민 vj 한테 호되게 당하는 김준호 ""아니.. 왜 이러세요...😭""

[안싸우면 다행이야] 24회, 20210329",,4,4,00:03,050000,,,,,,제휴콘텐츠,"장동민 vj 한테 호되게 당하는 김준호 ""아니.. 왜 이러세요...😭"", MBC 210329 방송",,"김명진,현정완",,"김대희,장동민,김준호,신봉선,박영진,안정환,붐",2021,KOR,KOR,,,,,,MBC,20210329,월,"이영표,MBC 예능",,,N,,,N,,,KOR,부속제휴,VOD,부속영상,제휴콘텐츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M34L30HLSGL1500001,,M34L30HKSGL1500001,90,,,,,,,,,,,,,,0,,,,,,,Y,163311~172924,김명진~현정완,,,,,115783~101750,장동민~신봉선,,,,
10032044290002,1003204429,60020565830000,00034,00034,101850000,"[선공개] 거친 파도 바이킹에 바닷물 미스트♡ 김준호X김대희의 리얼 생존기!, MBC 210329 방송",제휴클립 > MBC,"[선공개] 거친 파도 바이킹에 바닷물 미스트♡ 김준호X김대희의 리얼 생존기!, MBC 210329 방송",,,,,"[선공개] 거친 파도 바이킹에 바닷물 미스트♡ 김준호X김대희의 리얼 생존기!, MBC 210329 방송","[선공개] 거친 파도 바이킹에 바닷물 미스트♡ 김준호X김대희의 리얼 생존기!, MBC 210329 방송",1,N,,N,"[선공개] 거친 파도 바이킹에 바닷물 미스트♡ 김준호X김대희의 리얼 생존기!, MBC 210329 방송",,"[선공개] 거친 파도 바이킹에 바닷물 미스트♡ 김준호X김대희의 리얼 생존기!, MBC 210329 방송",,4,4,00:04,050000,,,,,,제휴콘텐츠,"[선공개] 거친 파도 바이킹에 바닷물 미스트♡ 김준호X김대희의 리얼 생존기!, MBC 210329 방송",,"김명진,현정완",,"김대희,김준호",2021,KOR,KOR,,,,,,MBC,20210329,월,"이영표,MBC 예능",,,N,,,N,,,KOR,부속제휴,VOD,부속영상,제휴콘텐츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M34L30FNSGL1500001,,M34L30FOSGL1500001,90,,,,,,,,,,,,,,0,,,,,,,Y,163311~172924,김명진~현정완,,,,,,,,,,
10032044130002,1003204413,60020607180000,00034,00034,101850000,"""선생님께 여쭤보는게 제일 나을 것 같아서요.."" 한정호의 고민 상담을 해주는 김정호, MBC 210330 방송",제휴클립 > MBC,"""선생님께 여쭤보는게 제일 나을 것 같아서요.."" 한정호의 고민 상담을 해주는 김정호, MBC 210330 방송",,,,,"""선생님께 여쭤보는게 제일 나을 것 같아서요.."" 한정호의 고민 상담을 해주는 김정호, MBC 210330 방송","""선생님께 여쭤보는게 제일 나을 것 같아서요.."" 한정호의 고민 상담을 해주는 김정호, MBC 210330 방송",1,N,53,N,"""선생님께 여쭤보는게 제일 나을 것 같아서요.."" 한정호의 고민 상담을 해주는 김정호

[밥이 되어라] 53회, 20210330",,"""선생님께 여쭤보는게 제일 나을 것 같아서요.."" 한정호의 고민 상담을 해주는 김정호

[밥이 되어라] 53회, 20210330",,4,4,00:02,030000,,,,,,제휴콘텐츠,"""선생님께 여쭤보는게 제일 나을 것 같아서요.."" 한정호의 고민 상담을 해주는 김정호, MBC 210330 방송",,백호민,하청옥,"오영실,김정호,한정호",2021,KOR,KOR,,,,,,MBC,20210330,"월,화,수,목,금","정우연,재희,권혁,강다현,조한준,안내상,정혜선,남경읍,서우림,한인수",,,N,,,N,,,KOR,부속제휴,VOD,부속영상,제휴콘텐츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M34L30Y6SGL1500001,,M34L30Y7SGL1500001,90,,,,,,,,,,,,,,0,,,,,,,Y,108074,백호민,,,,,100651,오영실,,,,
10032044130003,1003204413,60020607180000,00034,00034,101850000,"""이용당하는 거 알고 있어요?"" 재희에게 사실을 알려 주는 최수린, MBC 210330 방송",제휴클립 > MBC,"""이용당하는 거 알고 있어요?"" 재희에게 사실을 알려 주는 최수린, MBC 210330 방송",,,,,"""이용당하는 거 알고 있어요?"" 재희에게 사실을 알려 주는 최수린, MBC 210330 방송","""이용당하는 거 알고 있어요?"" 재희에게 사실을 알려 주는 최수린, MBC 210330 방송",1,N,53,N,"""이용당하는 거 알고 있어요?"" 재희에게 사실을 알려 주는 최수린

[밥이 되어라] 53회, 20210330",,"""이용당하는 거 알고 있어요?"" 재희에게 사실을 알려 주는 최수린

[밥이 되어라] 53회, 20210330",,4,4,00:02,030000,,,,,,제휴콘텐츠,"""이용당하는 거 알고 있어요?"" 재희에게 사실을 알려 주는 최수린, MBC 210330 방송",,백호민,하청옥,"재희,정우연,최수린",2021,KOR,KOR,,,,,,MBC,20210330,"월,화,수,목,금","정우연,재희,권혁,강다현,조한준,안내상,정혜선,남경읍,서우림,한인수",,,N,,,N,,,KOR,부속제휴,VOD,부속영상,제휴콘텐츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M34L30Y8SGL1500001,,M34L30Y9SGL1500001,90,,,,,,,,,,,,,,0,,,,,,,Y,108074,백호민,,,,,166346~122327,정우연~최수린,,,,
10032044290004,1003204429,60020565830000,00034,00034,101850000,"""뭐 먹을지 골라봐 😎"" 계그계의 베어그릴스 장동민의 특급 카리스마!, MBC 210329 방송",제휴클립 > MBC,"""뭐 먹을지 골라봐 😎"" 계그계의 베어그릴스 장동민의 특급 카리스마!, MBC 210329 방송",,,,,"""뭐 먹을지 골라봐 😎"" 계그계의 베어그릴스 장동민의 특급 카리스마!, MBC 210329 방송","""뭐 먹을지 골라봐 😎"" 계그계의 베어그릴스 장동민의 특급 카리스마!, MBC 210329 방송",1,N,24,N,"""뭐 먹을지 골라봐 😎"" 계그계의 베어그릴스 장동민의 특급 카리스마!

[안싸우면 다행이야] 24회, 20210329",,"""뭐 먹을지 골라봐 😎"" 계그계의 베어그릴스 장동민의 특급 카리스마!

[안싸우면 다행이야] 24회, 20210329",,4,4,00:02,050000,,,,,,제휴콘텐츠,"""뭐 먹을지 골라봐 😎"" 계그계의 베어그릴스 장동민의 특급 카리스마!, MBC 210329 방송",,"김명진,현정완",,"김대희,장동민,김준호,신봉선,박영진,안정환,붐",2021,KOR,KOR,,,,,,MBC,20210329,월,"이영표,MBC 예능",,,N,,,N,,,KOR,부속제휴,VOD,부속영상,제휴콘텐츠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M34L30HMSGL1500001,,M34L30HNSGL1500001,90,,,,,,,,,,,,,,0,,,,,,,Y,163311~172924,김명진~현정완,,,,,115783~101750,장동민~신봉선,,,,
10031846000001,1003184600,60020610600000,54761,00239,210008640,무민밸리 대소동 26회,OPEN > 애니메이션,26회 무민 골짜기의 11월,,ENG,,,무민밸리 대소동,26회 무민 골짜기의 11월,1,,26,,,,"늦가을이 되자 스너프킨은 다시 길을 떠나려 한다. 하지만 그사이 무민 가족이 무민 골짜기를 떠난 사실을 알게 된다. 무민 하우스에 무민 가족을 그리워하며 모인 이들, 그리고 새로 찾아온 토플이 함께 무민 가족을 기다린다.",,1,1,00:30,040300,040400,041300,,,,,무민밸리 대소동,,마리카 마카로프,,"남도형,김영선,오수경,류승곤",2019,GBR,ENG,,,,,,기타,,월,,더빙,KOR,N,,,N,,,KOR,본편,VOD,일반,OPEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIAL13AWSGL1500001,,MIAL13AUSGL1500001,14,,,,,,,,,,,,,,0,,,,,,,Y,220652,마리카 마카로프,,,,,127865~103761~217857~132443,남도형~김영선~오수경~류승곤,,,,
10032042060017,1003204206,60020627270000,55403,55403,210009862,뽀뽀뽀 친구친구 2 17화,어린이/유아 > 동화,뽀뽀뽀 친구친구 2 17화,,,,,,17화 지진이 나면,1,,17,,,,"인성이가 지진이 나는 꿈을 꾸고 난 후 지진이 날까 무섭대요. 하지만 지진이 일어나도 안전하게 대피하면 무섭지 않다는데,  지진이 일어나면 어떻게 하면 될까, 토리와 함께 재미있는 퀴즈로 알아봐요.",,,1,00:25,031610,041611,,,,,,뽀뽀뽀 친구친구 2 17화,,,,,,KOR,KOR,,,,,,MBC,,월,,,,N,,,N,,,KOR,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,4-7세,,,,,,MIAL357USGL1500001,,MIAL357VSGL1500001,13,,,,,,,,,,,,,,0,,,,,,,Y,,,,,,,,,,,,
10032010970001,1003201097,60020623260000,50427,50427,200002526,탄탄시리즈 딸기풀이 수학동화-규칙성- 3화,어린이/유아 > 동화,탄탄시리즈 딸기풀이 수학동화: 규칙성 3화,,,,,,3화 제비야 기억나니?,1,,3,,,,"머나먼 남쪽 나라로 떠나는 제비를 위해 친구들이 제비를 위한 책을 만들기로 해요 '제비야, 기억나니?' 친구들의 선물을 통해 주변 사물들이 가지고 있는 규칙에 대해 배워요",,,1,00:14,041600,041602,,,,,,탄탄시리즈 딸기풀이 수학동화-규칙성-,,,,,,KOR,KOR,,,,,,,,,,자막,KOR,N,,,N,,,KOR,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,4-7세,,,,,,MIAL3290SGL1500001,,MIAL328ZSGL1500001,13,,,,,,,,,,,,,,0,,,,,,,Y,,,,,,,,,,,,
10032010960001,1003201096,60020623260000,50427,50427,200002526,탄탄시리즈 딸기풀이 수학동화-규칙성- 2화,어린이/유아 > 동화,탄탄시리즈 딸기풀이 수학동화: 규칙성 2화,,,,,,2화 뒤죽박죽 마녀의 성,1,,2,,,,뒤죽박죽 마녀의 성에 갇힌 왕자의 편지를 받은 공주는 규칙의 나라를 지나야만 왕자님께 갈 수 있어요  공주님과 함께 규칙을 찾아주세요,,,1,00:08,041600,041602,,,,,,탄탄시리즈 딸기풀이 수학동화-규칙성-,,,,,,KOR,KOR,,,,,,,,,,자막,KOR,N,,,N,,,KOR,본편,VOD,일반,,,,,,,,,,,,,,,,,,,,,,,,,,4-7세,,,,,,MIAL3291SGL1500001,,MIAL3292SGL1500001,13,,,,,,,,,,,,,,0,,,,,,,Y,,,,,,,,,,,,
