MASTER_SERIES_ID,TITLE,SEAMLESS_CODE,SEAMLESS_FLAG,SERIES_TYPE,CP_CD,MCP_CD,SERS_ENDBRD_YN,VIRTUAL_DVD_FLAG,RATING,ADULT_CATEGORY_ONLY,GENRE_MAIN,SUB_GENRE,GENRE_DISPLAY,ORIGIN_TITLE,ORIGIN_TITLE_LANG,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,SEASON_NO,SUBTITLE_DUBBED,SUBTITLE_DUBBED_LANG,BROAD_CHANNEL,BROAD_DAY,APPLIED_SCREEN,COUNTRY_OF_ORIGIN,YEAR,MULTI_CAPTION_FLAG,MULTI_CAPTION_INFO,MULTI_AUDIO_FLAG,MULTI_AUDIO_INFO,DESCRIPTION,NOTICE_DESCRIPTION
60020187340000,엄지의 제왕,0,N,01,00470,00470,N,N,1,N,050100,,,엄지의 제왕,,김달준,강제상,"허참,윤문식,김나영,김태현,사미자,김오곤,서재걸,박상준",1,,,,화,"TV,PHONE,PAD",,,N,,N,,"[본 프로그램은 매주 수요일에 업데이트 됩니다.]생활 속 고수, 엄지의 제왕을 찾아라! '노하우의 제왕' 자리를 놓고 벌이는 불꽃 튀는 대결! 다양한 분",
40000000102006,휴먼다큐 사노라면,0,N,01,00470,00470,N,N,1,N,031400,,,휴먼다큐 사노라면,,박병호,,,1,,1,,화,"TV,PHONE,PAD",,,N,,N,,"삶이 그대를 속일지라도 슬퍼하거나 노하지 말아라! 슬픈 날엔 참고 견디라, 즐거운 날이 온다. 보통 사람들의 특별한 이야기! MBN 휴먼다큐 사노라면!",
60020168090000,그것이 알고싶다,0,N,01,00002,00002,N,N,1,N,060000,,,,,박두선,,김상중,1,3,,,,"TV,PHONE,PAD",,,N,,N,,다양한 분야를 넘나들며 놀라운 사실을 취재한다. 진실의 눈으로 믿기지 않는 사건을 파고드는 탐사 저널리즘 프로그램.,
70000000011005,불타는 청춘,0,N,01,00002,00002,N,N,4,N,050100,,,,1,박상혁,,"홍진희, 강수지, 김국진, 김도균",1,3,,,금,"TV,PHONE,PAD",KOR,,N,,N,,"[본 프로그램은 매주 토요일에 업데이트 됩니다.]
아직도 마음은 불타고 있는 싱글 중년들이 여행을 떠난다! 당신이 잊고 있던 청춘을 찾아주는 본격 '",
60020225480000,꼬마기차 추추,1,Y,01,50110,50110,Y,N,1,N,041600,,,,1,,,,1,3,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 업데이트 완료되었습니다.]
우리의 주인공 '추추'는 깊은 산 속 아름다운 숲에 위치한 장난감 마을 '토이빌'에서 온갖 장난감, 인형들",
70000000007268,이웃집 찰스,0,N,01,00033,00033,N,N,1,N,060000,,,,,,,알렉스,1,3,,KBS,화,"TV,PHONE,PAD",KOR,2015,N,,N,,"[본 프로그램은 매주 화요일에 업데이트 됩니다]
취업, 학업, 결혼 등 다양한 이유로 한국 사회에서 정착해서 살아가려고  하는 외국인들의 생생한 리",
60020159800000,세상에 이런일이,0,N,01,00002,00002,N,N,3,N,060000,,,,,"허강일, 최성, 옥성아",,"임성훈, 박소현",1,3,,,,"TV,PHONE,PAD",,,N,,N,,우리 주변에서 일어나는 신기하고 놀랍고 재미있고 감동적인 이야기를 6mm 디지털카메라로 밀도 있게 취재 전달하는 프로그램.,
29000003243817,한국기행,1,Y,01,00003,00000,N,N,,N,031400,,,,1,"정연태, 최승호",,,,,,EBS,,"TV,PHONE,PAD",KOR,,N,,N,,"[업데이트 : 매주 화 ~ 토요일]
대한민국의 숨은 비경을 찾아 떠나는 공간여행. 역사와 풍습, 건축, 문화의 향기를 느끼고 전달하는 아름다운 시간여행. ",
40000000001546,명의,1,Y,01,00003,00000,N,N,1,N,031400,,,,1,,,,,,,EBS,,"TV,PHONE,PAD",KOR,,N,,N,,"[업데이트 : 매주 화요일]

환자의 가슴 아픈 사연을 소개하기보다 질병을 눈앞에 두고 이를 치료하기 위해 밤잠 자지 않고 고민하는 의료진의 모습에, ",
40000000104204,나눔 0700,0,N,01,00003,00003,N,N,1,N,030400,,,,1,이한규,김희나 외 3명,,,,,EBS,,"TV,PHONE,PAD",KOR,,N,,N,,"힘든 가운데도 꿈을 잃지 않고 살아가는 사람들, 어려움 때문에 꿈을 잃어버린 사람들. 그 사람들의 꿈을 지키고, 나눔을 통해 우리 사회의 꿈을 키워",
70000000007030,독한인생 서민갑부,0,N,01,00469,00469,N,N,1,N,060000,,,,,,,,1,,,채널A,토,"TV,PHONE,PAD",KOR,2014,N,,N,,"[본 프로그램은 매주 일요일에 업데이트됩니다.]
매주 2명의 서민에서 자신의 힘으로 큰 부를 쌓은 서민 갑부를 발굴하고, 다큐멘터리와 실화 를 바탕",
70000000006936,나는 몸신이다,0,N,01,00469,00469,N,N,3,N,050100,,,,,조천우,,정은아,1,,,채널A,수,"TV,PHONE,PAD",KOR,2014,N,,N,,"[본 프로그램은 매주 목요일 업데이트 됩니다.]
세상을 널리 이롭게 할 건강 정보나 잘못된 속설을 바로 잡을 정확한 정보를 갖고 있다면 누구나 '몸신",
80000000001663,꼬마기차 추추 (3D),1,Y,01,50110,50110,Y,N,1,N,041600,040400,,,1,,,,1,,,,,"TV,PHONE,PAD,PC",KOR,,N,,N,,"[해당 시리즈는 업데이트 완료되었습니다.]
우리의 주인공 '추추'는 깊은 산 속 아름다운 숲에 위치한 장난감 마을 '토이빌'에서 온갖 장난감, 인형들",
80000000001694,모란봉 클럽,1,Y,01,00442,00442,N,N,4,N,050100,050300,,,,"조승연, 양영래",오유선,,1,,,,토,"TV,PHONE,PAD",KOR,,N,,N,,"[본 프로그램은 매주 일요일에 업데이트 됩니다.]
남한에서 가장 ‘독한’ 사연과 가장 ‘흥미로운’ 시선을 가지고 있는 탈북 미녀들. 세상의 끝과도",
