SERIES_ID,MASTER_SERIES_ID,CP_CD,MCP_CD,CONTRACTID,TITLE,CTGR_NAME,TITLE_DISPLAY_NAME,TITLESHORT,TITLESORTABLE,SUMMARY_MEDIUM,SERS_ENDBRD_YN,SEASON_NO,RATING,GENRE_MAIN,DIRECTOR,WRITER_DISPLAY,ACTORS_DISPLAY,COUNTRY_OF_ORIGIN,CONTENT_LANGUAGE,BROAD_CHANNEL,BROAD_DAY,ATTACH_VIDEO_TYPE,VIDEOSERVICETYPE,VIDEOTYPE,GENRE_DISPLAY,DETAIL_GENRE_DISPLAY,CORNER_WATCH_FLAG
60020263170000,80000000014234,00003,00003,115580000,지식채널e,지상파 > EBS > 다큐교양,지식채널e,지식채널e,지식채널e,지식채널e,N,1,1,100000,,,,KOR,KOR,EBS,"월,화,수,목",본편,VOD,일반,90,9001,N
60020281760000,70000000007268,00033,00033,101570000,이웃집 찰스,지상파 > KBS > 시사교양,이웃집 찰스,이웃집 찰스,이웃집 찰스,"취업, 학업, 결혼 등 다양한 이유로 한국 사회에서 정착해서 살아가려고  하는 외국인들의 생생한 리얼 적응 스토리. 좌충우돌하는 이방인들의 모습 을 통해 우리 사회를 돌아보는 프로그램.",N,1,1,060000,이병용,,최원정,KOR,KOR,KBS1,화,본편,VOD,일반,11,1103,N
60020602820000,90000000011647,00118,00118,210004680,에스케이 에이트 (SK8),애니메이션 > 애니메이션,에스케이 에이트 (SK8),에스케이 에이트 (SK8),에스케이 에이트 (SK8),"[해당 시리즈는 매주 수요일에 업데이트 됩니다.]
스케이트보드를 무척 좋아하는 고교 2학년생, 레키가 빠져 있는 것… 그것은 ‘S’. ‘S’는 폐쇄된 광산을 스케이트보드를 타고 내려오는 룰이 필요 없는 위험한 극비 레이스이다. 그 중에서도 그곳에서 진행되는 ‘비프(결투)’에 많은 사람들이 열광하고 있었다.
(1화를 무료로 시청하실 수 있습니다.)",N,1,4,040100,,,,KOR,KOR,,,본편,VOD,일반,14,1401,N
60020618180000,90000000012701,50281,00239,200001656,맹처식신 (상),OPEN > 시리즈 > 무협/중화,맹처식신 (상),맹처식신 (상),맹처식신 (상),비정규직 셰프로 일하던 예자야오는 신비한 힘을 지닌 반지를 끼고 고대로 타임 슬립하게 된다. 어리둥절한 상황에서 예자야오는 왕권을 위협하는 흑풍채의 일당을 잠입 수사 중인 하순우와 위장결혼까지 하게 된다. 하순우의 노력을 지켜보면서 예자야오는 어느덧 하순우에게 마음을 빼앗긴다.,N,1,4,031100,조금도,,"종단니,서지현,조로사",CHN,CHN,기타,"화,수,목,금,토",본편,VOD,일반,12,1205,N
60020607180000,90000000011836,00034,00034,101850000,밥이 되어라,지상파 > MBC > 드라마,밥이 되어라,밥이 되어라,밥이 되어라,정통 궁중요리 대가의 비법 손맛을 타고난 '영신'과 그녀를 둘러싼 주변 사람들의 갈등과 성장을 그린 드라마,N,1,4,030500,백호민,하청옥,"정우연,재희,권혁,강다현,조한준",KOR,KOR,MBC,"월,화,수,목,금",본편,VOD,일반,11,1101,N
60020624730000,90000000013340,53441,00239,210005980,위대한 세기 시즌 3 (하),OPEN > 시리즈 > 해외,위대한 세기 시즌 3 (하),위대한 세기 시즌 3 (하),위대한 세기 시즌 3 (하),16세기의 오스만 제국을 배경으로 오스만 제국의 10대 술탄인 '술레이만 1세'와 전쟁 포로 출신의 노예에서 오스만 제국의 황후 '휘렘 술탄'이 된 알렉산드라의 일대기를 그린 터키 대하서사극이다. 터키 역사상 가장 유명한 황후 알렉산드라의 총명함과 야망을 엿볼 수 있다.,N,1,4,031100,"야무르 타일란,두룰 타일란",,"할리트 에르겐치,메리엠 우젤리,오칸 얄라브크",TUR,ENG,기타,"월,화",본편,VOD,일반,12,1207,N
60020620830000,90000000013084,51921,00239,210002060,러브 인 체인 (상),OPEN > 시리즈 > 해외,러브 인 체인 (상),러브 인 체인 (상),러브 인 체인 (상),"19세기 말, 농노로 태어났지만, 대모의 보호 아래 귀족처럼 교육받은 카테리나는 아름답고 영민하며 외국어와 피아노에 능숙한 완벽한 숙녀로 자란다. 하지만 카테리나가 아무리 뛰어나도 결국 체르빈스키 지주 가문의 농노 신분에서 벗어나지는 못했다.",N,1,4,030600,펠릭스 게르치코프,,"카테리나 코발추크,올렉세이 야로벤코,미하일로 하프릴로프",UKR,ENG,기타,"월,화,수,목,금",본편,VOD,일반,12,1207,N
60020608430000,90000000012266,52482,52482,210004260,너와 세계가 끝나는 날에 시즌1,시리즈 > 일드,너와 세계가 끝나는 날에 시즌 1,너와 세계가 끝나는 날에 시즌 1,너와 세계가 끝나는 날에 시즌1,"[본 시리즈는 매주 수요일에 업데이트 될 예정입니다.]
청혼을 준비하던 주인공은 불행하게도 터널 붕괴 사고에 휘말리게 되고 가까스로 목숨을 건진다. 본 적도 없는 위협이 줄줄이 닥치는 절망적인 상황에서 죽음과 이웃한 '종말의 세계'를 경험하게 되는 절체절명의 서바이벌 러브 스토리.",N,1,4,030100,"스가와라 신타로,나카쿠키 츠요시",,"타케우치 료마,나카죠 아야미,카사마츠 쇼,이토요 마리에",JPN,JPN,기타,수,본편,VOD,일반,12,1203,N
40000000102006,80000000012843,00470,00470,112110000,휴먼다큐 사노라면,종편 > MBN > 시사교양,휴먼다큐 사노라면,사노라면,휴먼다큐 사노라면,"[본 프로그램은 매주 수요일에 업데이트 됩니다.]
삶이 그대를 속일지라도 슬퍼하거나 노하지 말아라! 슬픈 날엔 참고 견디라, 즐거운 날이 온다. 보통 사람들의 특별한 이야기! MBN 휴먼다큐 사노라면!",N,1,1,031400,박병호,,,KOR,KOR,MBN,화,,VOD,본편,11,1103,N
60020612250000,90000000013167,00498,00498,200001617,서검은구록 2002,시리즈 > 중드,서검은구록 2002,서검은구록 2002,서검은구록 2002,"[올레tv 선독점! 채널방송 종료 후, 당일 월~목요일에 업데이트 됩니다.]
‘반청복명’을 목적으로 한 조직 홍화회의 우만정이 분뢰수 문태래와 함께 밤에 조정 궁에 침입하여 건륭제 출생의 비밀을 밝힌다. 진가락은 우만정의 유서를 보고 건륭제가 한족 혈통임을 알게 된다.",N,1,4,030900,"위한동,황위명",,"조문탁,소영하",CHN,CHN,기타,"월,화,수,목",본편,VOD,일반,12,1204,N
