md101_sn,create_date,location_id,location_name,send_platform,msg
108850,2021/06/11 11:30:03,136,서울특별시 전체,cbs,[서울시청] 06.11.(금) 00시 기준 서울시 신규 확진자 204명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
108803,2021/06/10 18:47:33,142,서울특별시 광진구,cbs,[광진구청]확진자 발생에 따른 관내 동선 알림. 상호 공개된 장소 홈페이지 확인( han.gl/rvVRk )후 동시간대 이용자는 가까운 보건소에서 검사 바랍니다.
108774,2021/06/10 16:53:51,139,서울특별시 강북구,cbs,"[강북구청]5.30.(일)~6.10.(목) 참빛교회(강북구 솔매로45길 99, 소독완료)방문자 및 관련인 접촉자는 강북구보건소 검사 바랍니다.☎901-7704"
108767,2021/06/10 15:52:33,142,서울특별시 광진구,cbs,[광진구청] 광진04번 버스 6.4(금)~6.6(일) 14:30~24:00 탑승 승객은 유증상시 가까운 보건소에서 코로나 검사를 받으시기 바랍니다.
108755,2021/06/10 11:30:05,136,서울특별시 전체,cbs,[서울시청] 06.10.(목) 00시 기준 서울시 신규 확진자 213명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
108744,2021/06/10 10:41:40,157,서울특별시 용산구,cbs,[용산구청]5.22.(토)~6.7.(월) 행운노래��(원효로41길 15) 방문자는 증상 관계없이 가까운 보건소 선별진료소에서 코로나19 검사를 받으시기 바랍니다.
108718,2021/06/10 08:53:05,148,서울특별시 동작구,cbs,"[동작구청]5.31(월)~6.8(화) 백두산보석불가마사우나(사당로17길8 대림아파트 상가,사당3동)방문하신분은 가까운 선별진료소에서 진단검사를 받으시기 바랍니다."
108706,2021/06/09 18:45:37,142,서울특별시 광진구,cbs,[광진구청] 확진자 발생에 따른 관내 동선 알림. 상호 공개된장소 홈페이지 확인( han.gl/rvVRk )후 동시간대 이용자는 가까운 보건소에서 검사바랍니다.
108693,2021/06/09 17:57:40,157,서울특별시 용산구,cbs,[용산구청] 5.31.~6.3. 용산구 청파동 소재 짱호프타운을 방문하신 분은 가까운 선별진료소에 방문하여 코로나 검사를 받으시기 바랍니다. (추가확진자 발생)
108668,2021/06/09 13:33:54,154,서울특별시 송파구,cbs,[송파구청] 6.4.(금) 19:00~22:00 방이2동 OPS방이스타점(오금로 11길 11-8) 방문자는 가까운 선별진료소에서 검사 받으시길 바랍니다.
108659,2021/06/09 11:30:04,136,서울특별시 전체,cbs,[서울시청] 06.09.(수) 00시 기준 서울시 신규 확진자 183명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
108642,2021/06/09 10:12:55,145,서울특별시 노원구,cbs,[노원구청] 75세 이상 어르신 1차 백신 접종이 이번주 종료되오니 접종을 희망하시는 분은 오늘(6.9.수)까지 거주지 동주민센터로 연락주세요.
108641,2021/06/09 10:03:40,145,서울특별시 노원구,cbs,[노원구청] 75세 이상 어르신 1차 백신 접종이 이번주 종료되오니 접종을 희망하시는 분은 오늘(6.9.화)까지 거주지 동주민센터로 연락주세요.
108614,2021/06/08 18:18:30,152,서울특별시 성동구,cbs,[성동구청] 6.4(금)~5(토) 뚝섬로 392(성수2가1동) “어촌”(횟집) 방문자는 보건소에서 코로나19 검사 받으시기 바랍니다. ☎ 02-2286-7172
108572,2021/06/08 14:00:24,161,서울특별시 중랑구,cbs,[중랑구청] 60세~74세 어르신 중 사전예약을 못하신 분은 6.19.까지 지정 병의원에 전화 및 방문을 통해 예비명단 등록 후 접종해 주시면 감사하겠습니다.
108561,2021/06/08 11:29:58,136,서울특별시 전체,cbs,[서울시청] 06.08.(화) 00시 기준 서울시 신규 확진자 139명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
108489,2021/06/07 14:22:45,157,서울특별시 용산구,cbs,[Yongsan-gu]외국인대상안내_Vistors to Islamic Book Center on 6/2~4 should be tested for COVID19.
108486,2021/06/07 14:00:18,161,서울특별시 중랑구,cbs,[중랑구청] 75세 이상 어르신 백신 1차접종이 6.12(토) 종료됩니다. 아직 접종일 안내를 못받으셨거나 추가로 접종을 희망하시는 분은 동주민센터로 연락주세요.
108474,2021/06/07 11:30:09,136,서울특별시 전체,cbs,[서울시청] 06.07.(월) 00시 기준 서울시 신규 확진자 159명 발생. 자치구별 현황 및 동선 등은 bityl.co/6I7T 참고하시기 바랍니다. ☎120
